cover,title,author,shelf,isbn,isbn13,asin,pages,avg_rating,num_ratings,date_pub,date_pub_edition,review,comments,read_count,date_started,date_read,goodreads_id,goodreads_url,rating_numeric
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348711943l/245474.jpg,The Jewish Century,"Slezkine, Yuri",to-read,0691127603,9780691127606,0691127603,456.0,4.01,365,2004,2006,Write a review,0,not set[edit],,2023-12-04,245474,https://www.goodreads.com/book/show/245474.The_Jewish_Century,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687600746l/180357146.jpg,The Covenant of Water,"Verghese, Abraham",to-read,0802162177,9780802162175,0802162177,715.0,4.42,267849,2023,2025,Write a review,0,not set[edit],,2023-12-08,180357146,https://www.goodreads.com/book/show/180357146-the-covenant-of-water,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1683564155l/61885029.jpg,Starter Villain,"Scalzi, John",to-read,0765389223,9780765389220,0765389223,264.0,4.13,79806,2023,2023,Write a review,0,not set[edit],,2023-12-08,61885029,https://www.goodreads.com/book/show/61885029-starter-villain,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381287773l/17070375.jpg,The Palestinian-Israeli Conflict: A Very Short Introduction,"Bunton, Martin",to-read,0199603936,9780199603930,0199603936,160.0,4.04,2217,2013,2013,Write a review,0,not set[edit],,2023-12-14,17070375,https://www.goodreads.com/book/show/17070375-the-palestinian-israeli-conflict,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355212194l/316845.jpg,"The Sword in the Stone(Once and Future King, #1)","White, T.H.",to-read,000675399X,9780006753995,000675399X,352.0,3.89,27734,1938,1998,Write a review,0,not set[edit],,2023-12-24,316845,https://www.goodreads.com/book/show/316845.The_Sword_in_the_Stone,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663357166l/62610160.jpg,Is Maths Real? How Simple Questions Lead Us to Mathematics’ Deepest Truths,"Cheng, Eugenia",to-read,1782839240,9781782839248,B0BB8FF8B2,328.0,3.54,520,,2023,Write a review,0,not set[edit],,2023-12-29,62610160,https://www.goodreads.com/book/show/62610160-is-maths-real-how-simple-questions-lead-us-to-mathematics-deepest-trut,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338504885l/11797471.jpg,The Idea Factory: Bell Labs and the Great Age of American Innovation,"Gertner, Jon",to-read,1594203288,9781594203282,1594203288,432.0,4.20,8375,2012,2012,Write a review,0,not set[edit],,2023-12-29,11797471,https://www.goodreads.com/book/show/11797471-the-idea-factory,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630683326l/10534.jpg,The Art of War,Sun Tzu,to-read,,,B004TVXZ3K,170.0,3.95,543253,,2005,Write a review,0,not set[edit],,2024-02-07,10534,https://www.goodreads.com/book/show/10534.The_Art_of_War,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1613837158l/56922093.jpg,"Demystifying Disability: What to Know, What to Say, and How to Be an Ally","Ladau, Emily",to-read,1984858971,9781984858979,1984858971,176.0,4.39,4042,2021,2021,Write a review,0,not set[edit],,2024-02-11,56922093,https://www.goodreads.com/book/show/56922093-demystifying-disability,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655988385l/40121378.jpg,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"Clear, James",to-read,,,B07D23CFGR,319.0,4.33,1153270,2018,2018,Write a review,0,not set[edit],,2024-02-22,40121378,https://www.goodreads.com/book/show/40121378-atomic-habits,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600432716l/51942513.jpg,Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,"Shetty, Jay",to-read,1982134488,9781982134488,1982134488,328.0,4.19,80237,2020,2020,Write a review,0,not set[edit],,2024-03-17,51942513,https://www.goodreads.com/book/show/51942513-think-like-a-monk,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433591476l/60509.jpg,Technological Revolutions and Financial Capital: The Dynamics of Bubbles and Golden Ages,"Pérez, Carlota",to-read,1843763311,9781843763314,1843763311,224.0,4.32,649,2002,2003,Write a review,0,not set[edit],,2024-04-04,60509,https://www.goodreads.com/book/show/60509.Technological_Revolutions_and_Financial_Capital,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389934893l/66863.jpg,Only the Paranoid Survive: How to Exploit the Crisis Points that Challenge Every Company and Career,"Grove, Andrew S.",to-read,1861975139,9781861975133,1861975139,224.0,3.97,10113,1996,1998,Write a review,0,not set[edit],,2024-04-17,66863,https://www.goodreads.com/book/show/66863.Only_the_Paranoid_Survive,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377756377l/7604.jpg,Lolita,"Nabokov, Vladimir",to-read,0679723161,9780679723165,0679723161,368.0,3.87,909008,1955,1995,Write a review,0,not set[edit],,2024-04-19,7604,https://www.goodreads.com/book/show/7604.Lolita,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430014768l/78508.jpg,The River of Doubt: Theodore Roosevelt's Darkest Journey,"Millard, Candice",to-read,0767913736,9780767913737,0767913736,416.0,4.20,73691,2005,2006,Write a review,0,not set[edit],,2024-05-17,78508,https://www.goodreads.com/book/show/78508.The_River_of_Doubt,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582287822l/46000520.jpg,"The Thursday Murder Club(Thursday Murder Club, #1)","Osman, Richard",to-read,,,B0DY5BV96J,382.0,3.87,645447,2020,2020,Write a review,0,not set[edit],,2024-06-01,46000520,https://www.goodreads.com/book/show/46000520-the-thursday-murder-club,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180829010l/1081637.jpg,The Road Ahead,"Gates, Bill",to-read,0670772895,9780670772896,0670772895,286.0,3.74,4307,1995,1995,Write a review,0,not set[edit],,2024-06-22,1081637,https://www.goodreads.com/book/show/1081637.The_Road_Ahead,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1714172313l/242472.jpg,The Black Swan: The Impact of the Highly Improbable,"Taleb, Nassim Nicholas",to-read,1400063515,9781400063512,1400063515,480.0,3.96,118405,2007,2007,Write a review,0,not set[edit],,2024-07-09,242472,https://www.goodreads.com/book/show/242472.The_Black_Swan,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347262431l/2120575.jpg,"Men, Machines, and Modern Times","Morison, Elting E.",to-read,0262630184,9780262630184,0262630184,246.0,3.85,179,1966,1968,Write a review,0,"Jul 23, 2024[edit]",,2024-07-21,2120575,https://www.goodreads.com/book/show/2120575.Men_Machines_and_Modern_Times,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387722025l/174713.jpg,The Lessons of History,"Durant, Will",to-read,1567310249,9781567310245,1567310249,119.0,4.06,19180,,1997,Write a review,0,"Oct 26, 2024[edit]",,2024-08-08,174713,https://www.goodreads.com/book/show/174713.The_Lessons_of_History,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399438l/17690.jpg,The Trial,"Kafka, Franz",to-read,,,,255.0,3.95,370409,1925,2001,Write a review,0,not set[edit],,2024-10-20,17690,https://www.goodreads.com/book/show/17690.The_Trial,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348815265l/528985.jpg,She Comes First: The Thinking Man's Guide to Pleasuring a Woman,"Kerner, Ian",to-read,0060538252,9780060538255,0060538252,228.0,4.07,11914,2004,2004,Write a review,0,not set[edit],,2024-11-06,528985,https://www.goodreads.com/book/show/528985.She_Comes_First,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390169859l/3828902.jpg,Thinking In Systems: A Primer,"Meadows, Donella H.",to-read,1603580557,9781603580557,1603580557,218.0,4.19,20252,2008,2008,Write a review,0,"Nov 25, 2024[edit]",,2024-11-15,3828902,https://www.goodreads.com/book/show/3828902-thinking-in-systems,
